Offering,1993-01,1993-02,1993-03,1993-04,1993-05,1993-06,1993-07,1993-08,1993-09,1993-10,1993-11,1993-12,1994-01,1994-02,1994-03,1994-04,1994-05,1994-06,1994-07,1994-08,1994-09,1994-10,1994-11,1994-12,1995-01,1995-02,1995-03,1995-04,1995-05,1995-06,1995-07,1995-08,1995-09,1995-10,1995-11,1995-12,1996-01,1996-02,1996-03,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12
hesta Shares Plus ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.56,1.08,2.20,1.38,0.39,-0.04,2.99,0.59,0.19,-0.81,1.78,2.98,1.03,0.07,-0.80,2.03,0.31,1.66,0.05,0.88,1.24,2.85,1.77,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hesta Cash ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.14,0.16,0.15,0.16,0.16,0.16,0.19,0.15,0.16,0.15,0.16,0.15,0.13,0.13,0.15,0.16,0.15,0.15,0.15,0.15,0.14,0.13,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hesta Global Bonds ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,0.51,0.35,0.65,0.76,-0.32,0.48,0.36,0.04,-0.67,-1.14,0.14,-0.02,-0.06,0.60,-0.30,0.48,0.30,0.31,0.45,-0.11,0.62,0.39,-0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hesta Property ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.85,1.16,-0.82,0.13,0.96,0.62,0.75,1.66,-0.10,0.47,1.64,0.20,0.55,1.51,-0.54,0.59,1.87,1.52,0.29,1.48,-0.07,0.71,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hesta Infrastructure ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,0.27,2.48,0.63,0.35,1.21,0.59,0.28,1.58,0.10,0.17,2.05,0.33,0.96,3.62,-0.08,0.22,1.44,-0.01,0.14,1.69,0.81,-0.04,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hesta International Shares ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.79,2.24,2.06,2.81,1.97,-0.76,2.99,1.33,-0.47,0.01,2.33,3.65,3.09,-1.47,-1.08,1.77,-0.53,0.69,0.57,1.30,2.15,3.59,2.13,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hesta Australian Shares ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.89,1.46,2.82,0.73,-1.30,0.37,5.54,-0.38,0.51,-2.20,1.93,3.64,-0.15,0.22,-2.84,3.83,0.76,2.47,0.01,0.76,0.31,3.50,1.93,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hesta Private Equity ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.20,-0.40,3.13,0.82,1.35,0.61,0.61,0.75,-0.21,0.66,1.39,0.98,0.34,1.35,0.43,0.56,1.46,0.81,-0.26,1.60,0.21,0.52,3.56,-0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hesta High Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,1.15,2.33,,,,1.06,2.33,-1.13,0.96,6.77,1.19
aware Conservative,,,,,,,,,,,,,,,,,,,0.0007,0.020860398,-0.016289793,0.006709728,-0.037656106,0.013103404,-0.020769045,0.020405693,0.012658202,0.041420622,0.024297881,0.014126465,0.014669162,0.009229734,0.00450262,-0.008896495,0.028870848,0.0189189,0.022466111,0.005185687,-0.003423281,0.021123426,-0.010505922,0.0038415,-0.020310128,0.039649256,0.008080646,0.016871163,0.030781071,0.007501874,0.009846021,0.027235053,-0.015482265,0.007743185,0.052737879,0.044670275,0.024096443,-0.023084463,0.038981132,-0.05297272,0.014510892,0.03471987,0.013356083,0.037432871,0.034095982,0.008878203,-0.003081374,-0.012029978,0.017030496,-0.033943497,-0.003900094,0.010204316,0.048738145,0.021133166,0.00587015,0.012071128,0.017433209,0.025206018,-0.030276791,0.021299512,0.023502244,0.009285934,-0.032196191,-0.003615045,0.046935153,0.018403236,-0.01967385,0.009254191,0.03697531,-0.019703181,0.002324982,0.030994198,0.023392071,0.024992454,-0.029121499,0.008684502,-0.001657182,-0.018203749,0.029060149,-0.020261164,-0.021399903,0.023058283,0.036969607,-0.008266128,-0.018771925,0.005237437,-0.102250673,0.078509417,0.023412821,0.000659006,-0.004160626,-0.007973325,0.016362063,-0.00864929,-0.007112031,-0.044263055,-0.055754842,0.05188995,-0.058089402,0.020421393,0.021586721,-0.008793501,-0.016850465,-0.030884992,0.022268137,0.025479101,0.007258312,0.020831005,0.008456297,0.013834149,0.005716846,0.008943095,-0.00106567,0.025724442,0.021190148,0.003125339,0.013352985,0.022841031,-0.007074592,0.029739486,-0.021306719,0.013810071,0.023507505,-7.05-05,0.042419785,0.037229345,-0.001414612,0.012494868,0.007458418,-0.018302149,0.02187415,0.02570664,0.027750472,0.011914176,0.035510514,-0.02467129,0.048630112,0.02176118,0.010113306,0.021206597,0.03976119,0.009581596,-0.038307897,0.003535323,-0.007239486,0.021419237,0.016846748,0.029791478,0.001135289,0.034354702,0.014456252,0.027953022,-0.018384654,0.032750012,0.015508861,-0.009550853,-0.023410436,0.013595685,0.029075578,0.017256045,-0.029104937,0.005957089,-0.068862969,-0.000599876,-0.034937996,0.036345975,0.00011919,-0.051964539,-0.036992707,0.03903321,-0.023078216,-0.115127114,-0.022304378,0.002869624,-0.014918625,-0.042633542,0.051574198,0.013493576,0.018492097,0.007133502,0.03336339,0.049242695,0.021137213,-0.01371976,0.013623086,0.024165419,-0.024730253,0.003499598,0.040478443,-0.007680034,-0.039920838,-0.016842726,0.033228601,-0.021283844,0.037069642,0.006174657,0.001189645,0.019390553,0.019876962,0.000588532,0.001548789,0.009954795,-0.016609467,-0.003330021,-0.016780743,-0.041849501,-0.010428013,0.04031989,-0.031974843,0.005911128,0.028458821,0.016884039,0.026052492,-0.002069707,-0.02506369,-0.010457313,0.014931383,0.028755354,0.012081296,0.008470602,-0.001035407,0.031001775,0.036515976,0.01275545,0.026001245,0.032095554,-0.022166211,0.051432596,0.010163377,0.0273094,0.017495565,0.013355047,0.01647562,-0.009901493,0.025177156,-0.014789588,0.013023898,0.015727758,-0.002562674,0.013473418,0.013110016,-0.003977858,-0.002309644,0.029059889,0.01348077,0.008295145,0.047697283,0.004850179,0.01495322,0.002302656,-0.027520807,0.025414116,-0.036883678,-0.017169525,0.043587679,-0.002302373,-0.004191773,-0.043737686,-0.005029244,0.02017513,0.023983601,0.026835049,-0.0183732,0.037436982,0.002252561,0.001238708,-0.010331919,0.020582792,0.023498544,0.000953,0.014191877,0.020760605,0.020065803,0.007314399,0.000982,0.001869476,0.009691771,0.0118038,0.02924145,0.017035202,0.00439402,0.016115136,-0.002701752,-0.011075945,0.021443369,0.008159203,0.011439623,0.015162629,0.018736354,-0.004152842,-0.040151303,-0.004381609,-0.018856017,0.033073722,0.030443426,0.010073746,0.023273868,-0.011301424,0.029219091,0.017803505,-0.008400843,0.011896849,0.010638335,0.029051793,0.000672532,0.021992869,-0.039522213,-0.096352647,0.036351821,0.024522959,0.015564373,0.011081901,0.025221899,-0.006783728,0.006133314,0.056249288,0.018477271,0.0068203889977165,0.0076950191809781,0.0233706022778532,,,,,,,,,
